binding_energy_eV,raw_intensity,background,component:imide_carbonyl_O,component:acid_carbonyl_O,component:acid_hydroxyl_OH,total_fit,residual
543.3558081986467,26969.70805622895,28355.27810904559,71.08302178648215,31.286738800908196,36.97203131750513,28494.619900950485,-1524.911844721537
543.4558081986468,26963.91621480072,28385.913581695826,69.91501280340319,30.720529478756546,36.242627386900494,28522.791751364886,-1558.8755365641664
543.5558081986468,27237.078755833012,28416.549054346062,68.77553126881882,30.16953565654288,35.53456928173163,28551.028690553154,-1313.9499347201418
543.6558081986467,26801.45092621866,28447.184526996265,67.66365651896135,29.633217597923842,34.847033221998004,28579.328434335148,-1777.8775081164895
543.7558081986467,26771.38303252149,28477.819999646497,66.5785047002565,29.11105926278448,34.17923473633283,28607.688798345873,-1836.3057658243815
543.8558081986467,26876.91734483031,28508.455472296737,65.51922701879678,28.602567071028695,33.53042643528557,28636.107692821846,-1759.1903479915345
543.9558081986468,27525.575522670864,28539.09094494697,64.48500808607552,28.107268740876382,32.89989593019626,28664.58311770412,-1139.007595033254
544.0558081986468,26770.496584686964,28569.72641759721,63.47506435500273,27.624712196592895,32.286963886907415,28693.11315803571,-1922.616573348747
544.1558081986467,26771.749673758404,28600.361890247408,62.488642640614046,27.154464540950357,31.69098220442932,28721.6959796334,-1949.946305874997
544.2558081986467,27742.169766278214,28630.997362897644,61.52501872027027,26.696111088075288,31.11133230948158,28750.32982501547,-1008.1600587372559
544.3558081986467,27535.186312094644,28661.63283554788,60.58349600852362,26.249254452672186,30.547423558581087,28779.013009567658,-1243.826697473014
544.4558081986468,27718.995951071523,28692.268308198116,59.66340430211553,25.813513691892165,29.99869173999099,28807.743917932115,-1088.747966860592
544.5558081986468,28066.68750844474,28722.90378084835,58.764098590915054,25.38852349640803,29.46459766847894,28836.521000604153,-769.8334921594142
544.6558081986467,27833.920540088187,28753.53925349855,57.88495793086593,24.973933427498046,28.944625866375134,28865.34277072329,-1031.422230635104
544.7558081986467,28112.237775461457,28784.17472614879,57.025384375271535,24.569407197172307,28.43828332492962,28894.207801046163,-781.9700255847056
544.8558081986467,28499.079212297554,28814.810198799023,56.184801961009704,24.174621988597902,27.945098340444297,28923.114721089074,-424.03550879151953
544.9558081986468,28590.8086871587,28845.445671449263,55.362655746457186,23.789267814258583,27.464619420059186,28952.062214430036,-361.25352727133577
545.0558081986468,28558.335610215498,28876.081144099495,54.55841089814798,23.413046909481835,26.996414252482325,28981.049016159606,-422.7134059441087
545.1558081986467,28458.407239734173,28906.716616749698,53.771551823361676,23.045673159123226,26.54006873929691,29010.07391047148,-551.6666707373079
545.2558081986467,29022.38216791006,28937.352089399934,53.00158134601854,22.686871555352162,26.095186082806684,29039.13572838411,-16.753560474051483
545.3558081986467,28967.98756205017,28967.98756205017,52.248019923442705,22.336377684633177,25.661385926690514,29068.233345584937,-100.24578353476682
